id,buName,dpId,dpName,profitCenter
235,Maritime,3056,"BOEING SATELLITE SYSTEMS INTERNATIONAL INC.",1313
236,Maritime,3038,"FSUE MORSVIAZSPUTNIK.",1348
237,Maritime,1020,"INMARSAT SOLUTIONS BV",5505
238,Maritime,3033,"INMARSAT SOLUTIONS CANADA INC.",5505
239,Maritime,1440,"KDDI CORPORATION",1328
240,Maritime,1261,"KTSAT CO. LTD",1328
241,Maritime,10316,"NSSLGLOBAL LTD",1300
242,Maritime,1180,"OTESAT-MARITEL SA.",1348
243,Maritime,3027,"MX1 LTD.",1348
244,Maritime,1050,"SEGOVIA COMMERCIAL SERVICES INC.",4020
245,"US Government",5011,"ACES INTERNATIONAL LIMITED",4001
246,"Enterprise SD - Resources",5011,"ACES INTERNATIONAL LIMITED",2533
247,"Enterprise SD - NGO",5011,"ACES INTERNATIONAL LIMITED",2534
248,"Enterprise SD - Integrated Transport",5011,"ACES INTERNATIONAL LIMITED",2537
249,"Enterprise SD - FinTech",5011,"ACES INTERNATIONAL LIMITED",2538
250,"Enterprise SD - Other business",5011,"ACES INTERNATIONAL LIMITED",2541
251,"Global Government",3058,"AEROSATCOM LIMITED",4500
252,"Enterprise Aviation",3058,"AEROSATCOM LIMITED",3012
253,"Enterprise SD - Media",3058,"AEROSATCOM LIMITED",2532
254,"Enterprise SD - NGO",3058,"AEROSATCOM LIMITED",2534
255,"Enterprise SD - FinTech",3058,"AEROSATCOM LIMITED",2538
256,"Enterprise SD - Other business",3058,"AEROSATCOM LIMITED",2541
257,"Enterprise Aviation",3036,"AND GROUP PLC",3012
258,Maritime,3036,"AND GROUP PLC",1300
259,"Enterprise SD - Resources",3036,"AND GROUP PLC",2533
260,"Enterprise SD - Mining / Construction",3036,"AND GROUP PLC",2535
261,"Enterprise SD - AgriTech",3036,"AND GROUP PLC",2536
262,"Global Government",3034,"ARINC INC USA",4500
263,"Enterprise SD - Resources",3034,"ARINC INC USA",2533
264,"Enterprise SD - NGO",3034,"ARINC INC USA",2534
265,"Enterprise SD - Mining / Construction",3034,"ARINC INC USA",2535
266,"Enterprise SD - AgriTech",3034,"ARINC INC USA",2536
267,"Enterprise SD - Integrated Transport",3034,"ARINC INC USA",2537
268,"Enterprise SD - FinTech",3034,"ARINC INC USA",2538
269,"Enterprise SD - Other business",3034,"ARINC INC USA",2541
270,"Enterprise Aviation",3032,"AST CONNECTIONS LTD",3012
271,"Global Government",3032,"AST CONNECTIONS LTD",4500
272,"Enterprise SD - Media",3032,"AST CONNECTIONS LTD",2532
273,"Enterprise SD - AgriTech",3032,"AST CONNECTIONS LTD",2536
274,"Enterprise SD - Integrated Transport",3032,"AST CONNECTIONS LTD",2537
275,"Enterprise SD - FinTech",3032,"AST CONNECTIONS LTD",2538
276,Maritime,1090,"BEIJING MARINE COMMUNICATION & NAVIGATION COMPANY LIMITED",1328
277,"Enterprise SD - Resources",1090,"BEIJING MARINE COMMUNICATION & NAVIGATION COMPANY LIMITED",2533
278,"Enterprise SD - Mining / Construction",1090,"BEIJING MARINE COMMUNICATION & NAVIGATION COMPANY LIMITED",2535
279,"Enterprise SD - Integrated Transport",1090,"BEIJING MARINE COMMUNICATION & NAVIGATION COMPANY LIMITED",2537
280,"Enterprise SD - FinTech",1090,"BEIJING MARINE COMMUNICATION & NAVIGATION COMPANY LIMITED",2538
281,"Enterprise SD - BYOD",1090,"BEIJING MARINE COMMUNICATION & NAVIGATION COMPANY LIMITED",2539
282,"Enterprise SD - Other business",1090,"BEIJING MARINE COMMUNICATION & NAVIGATION COMPANY LIMITED",2541
283,"Enterprise Aviation",3039,"BOEING COMMERCIAL SATELLITE SERVICES INC.",3012
284,"Global Government",3039,"BOEING COMMERCIAL SATELLITE SERVICES INC.",4500
285,"Enterprise SD - Media",3039,"BOEING COMMERCIAL SATELLITE SERVICES INC.",2532
286,"Enterprise SD - Resources",3039,"BOEING COMMERCIAL SATELLITE SERVICES INC.",2533
287,"Enterprise SD - Mining / Construction",3039,"BOEING COMMERCIAL SATELLITE SERVICES INC.",2535
288,"Enterprise SD - AgriTech",3039,"BOEING COMMERCIAL SATELLITE SERVICES INC.",2536
289,"Enterprise SD - FinTech",3039,"BOEING COMMERCIAL SATELLITE SERVICES INC.",2538
290,"Enterprise SD - BYOD",3039,"BOEING COMMERCIAL SATELLITE SERVICES INC.",2539
291,"Enterprise SD - Other business",3039,"BOEING COMMERCIAL SATELLITE SERVICES INC.",2541
292,"US Government",3056,"BOEING SATELLITE SYSTEMS INTERNATIONAL INC.",4001
293,"Enterprise SD - Resources",3056,"BOEING SATELLITE SYSTEMS INTERNATIONAL INC.",2533
294,"Enterprise SD - NGO",3056,"BOEING SATELLITE SYSTEMS INTERNATIONAL INC.",2534
295,"Enterprise SD - Mining / Construction",3056,"BOEING SATELLITE SYSTEMS INTERNATIONAL INC.",2535
296,"Enterprise SD - Integrated Transport",3056,"BOEING SATELLITE SYSTEMS INTERNATIONAL INC.",2537
297,"Enterprise SD - FinTech",3056,"BOEING SATELLITE SYSTEMS INTERNATIONAL INC.",2538
